Kind,Name,AvgCyclomatic,MaxCyclomatic,AvgCountLineCode,CountLineCode,RatioCommentToCode,CountLineComment,CountDeclClass,CountDeclClassMethod,CountLineCodeExe,MaxNesting
Public Static Class,"org.apache.beam.runners.dataflow.DataflowRunnerTest.TestTransform",1,1,8,11,0.00,0,,0,6,0
Public Method,"org.apache.beam.runners.dataflow.DataflowRunnerTest.TestTransform.expand",,,,8,0.00,0,,,5,0
Private Method,"org.apache.beam.runners.dataflow.DataflowRunnerTest.assertBatchingOverrideApplied",,,,30,0.00,0,,,23,1
Anonymous Class,"org.apache.beam.runners.dataflow.DataflowRunnerTest.assertBatchingOverrideApplied.(Anon_4)",4,4,18,19,0.00,0,,0,15,1
Public Method,"org.apache.beam.runners.dataflow.DataflowRunnerTest.assertBatchingOverrideApplied.(Anon_4).enterCompositeTransform",,,,18,0.00,0,,,14,1
Private Method,"org.apache.beam.runners.dataflow.DataflowRunnerTest.assertDockerEnvironmentOverrides",,,,7,0.00,0,,,4,0
Private Static Method,"org.apache.beam.runners.dataflow.DataflowRunnerTest.assertValidJob",,,,8,0.00,0,,,6,0
Private Static Method,"org.apache.beam.runners.dataflow.DataflowRunnerTest.buildDataflowPipeline",,,,9,0.22,2,,,7,0
Private Static Method,"org.apache.beam.runners.dataflow.DataflowRunnerTest.buildDataflowPipelineWithLargeGraph",,,,11,0.18,2,,,8,1
Private Static Method,"org.apache.beam.runners.dataflow.DataflowRunnerTest.buildMockDataflow",,,,29,0.00,0,,,24,0
Private Static Method,"org.apache.beam.runners.dataflow.DataflowRunnerTest.buildMockGcsUtil",,,,39,0.05,2,,,35,2
Lambda Method,"org.apache.beam.runners.dataflow.DataflowRunnerTest.buildMockGcsUtil.(lambda_expr_1)",,,,6,0.00,0,,,6,0
Lambda Method,"org.apache.beam.runners.dataflow.DataflowRunnerTest.buildMockGcsUtil.(lambda_expr_2)",,,,1,0.00,0,,,1,0
Lambda Method,"org.apache.beam.runners.dataflow.DataflowRunnerTest.buildMockGcsUtil.(lambda_expr_3)",,,,13,0.00,0,,,10,0
Private Method,"org.apache.beam.runners.dataflow.DataflowRunnerTest.buildPipelineOptions",,,,9,0.00,0,,,7,0
Private Method,"org.apache.beam.runners.dataflow.DataflowRunnerTest.configureDataflowPipelineOptions",,,,7,0.00,0,,,5,0
Private Method,"org.apache.beam.runners.dataflow.DataflowRunnerTest.createExpectedPipeline",,,,19,0.00,0,,,16,0
Public Method,"org.apache.beam.runners.dataflow.DataflowRunnerTest.runWithDefaultFilesToStage",,,,7,0.00,0,,,4,0
Public Method,"org.apache.beam.runners.dataflow.DataflowRunnerTest.setUp",,,,5,0.00,0,,,2,0
